Batch	Flowcell	Group	sample.name 	 tumor.status	stat.Total_Reads 	stat.Mapped_Reads 	stat.Mapped_Reads_pct	stat.Mapped_Reads_Junction	stat.Mapped_Reads_Junction_pct	stat.Gene_Count 	stat.Gene_Count_pct	stat.SNVs 	stat.Indels 	stat.Fusions
3	180406_ST-K00112_0073_AHTF52BBXX	MSS	MSS_7	tumor 	72362442	68857619	95	50809236	70	58123961	80	24568	14474	11
3	180406_ST-K00112_0073_AHTF52BBXX	MSS	MSS_8	tumor 	61092535	57595226	94	43779652	72	47834972	78	24974	21300	1
3	180406_ST-K00112_0073_AHTF52BBXX	MSS	MSS_9	tumor 	14438483	13245074	92	9224501	64	10967708	76	12549	9887	1
2	180116_K00203_0173_BHNKCVBBXX	PMS2	MSI_PMS2_1	normal 	39663931	37482873	95	26477310	67	31747619	80	17521	22469	2
4	180622_K00316_0171_BHVL2TBBXX	PMS2	MSI_PMS2_10	normal 	36689570	34260587	93	15086738	41	23416961	64	36241	28227	0
4	180622_K00316_0171_BHVL2TBBXX	PMS2	MSI_PMS2_11	normal 	47364081	45652201	96	30224614	64	39076296	83	28371	27603	1
4	180622_K00316_0171_BHVL2TBBXX	PMS2	MSI_PMS2_12	normal 	11848695	11292539	95	6340911	54	8925920	75	16186	15218	0
4	180622_K00316_0171_BHVL2TBBXX	PMS2	MSI_PMS2_13	normal 	44347785	42507895	96	27151346	61	34035716	77	31663	31558	6
4	180622_K00316_0171_BHVL2TBBXX	PMS2	MSI_PMS2_14	normal 	30321313	28587067	94	17975233	59	22786268	75	21897	20118	0
4	180622_K00316_0171_BHVL2TBBXX	PMS2	MSI_PMS2_15	normal 	63803394	61004601	96	41550969	65	50726793	80	27824	27600	9
4	180712_K00203_0208_AHW5VMBBXX	PMS2	MSI_PMS2_16	normal 	103445941	97261142	94	64658363	63	77188668	75	31978	22834	19
2	180116_K00203_0173_BHNKCVBBXX	PMS2	MSI_PMS2_2	normal 	33804669	32142828	95	19912930	59	27087459	80	17979	14393	8
3	180406_ST-K00112_0073_AHTF52BBXX	PMS2	MSI_PMS2_3	normal 	46871515	42607471	91	23620698	50	31545869	67	19601	23583	4
3	180406_ST-K00112_0073_AHTF52BBXX	PMS2	MSI_PMS2_4	normal 	58001008	52311846	90	23165658	40	38943255	67	67200	46510	0
3	180406_ST-K00112_0073_AHTF52BBXX	PMS2	MSI_PMS2_5	normal 	34455289	28513750	83	10380489	30	18064472	52	36257	31970	0
3	180406_ST-K00112_0073_AHTF52BBXX	PMS2	MSI_PMS2_6	normal 	89980059	79581541	88	33241615	37	57421703	64	56316	58711	0
4	180622_K00316_0171_BHVL2TBBXX	PMS2	MSI_PMS2_7	normal 	31380179	30391254	97	21744204	69	24982286	80	18828	18103	3
4	180622_K00316_0171_BHVL2TBBXX	PMS2	MSI_PMS2_9	normal 	62750858	60716307	97	38707786	62	52304171	83	33755	35082	3
2	180116_K00203_0173_BHNKCVBBXX	PMS2	MSI_PMS2_1	tumor 	25003296	23330874	93	13950326	56	18546166	74	15305	15201	3
4	180622_K00316_0171_BHVL2TBBXX	PMS2	MSI_PMS2_10	tumor 	68580000	64385489	94	39053487	57	50302466	73	34737	30103	0
4	180622_K00316_0171_BHVL2TBBXX	PMS2	MSI_PMS2_11	tumor 	40808818	39383741	97	25149294	62	33441450	82	25128	29553	1
4	180622_K00316_0171_BHVL2TBBXX	PMS2	MSI_PMS2_12	tumor 	78333230	76538430	98	55764531	71	66106172	84	31879	42208	7
4	180622_K00316_0171_BHVL2TBBXX	PMS2	MSI_PMS2_13	tumor 	41595013	39377554	95	26617277	64	32679938	79	38528	31324	0
4	180622_K00316_0171_BHVL2TBBXX	PMS2	MSI_PMS2_14	tumor 	56553503	53784458	95	37426404	66	43533989	77	33878	25029	1
4	180622_K00316_0171_BHVL2TBBXX	PMS2	MSI_PMS2_15	tumor 	80830866	77296786	96	54008691	67	63523853	79	33703	36453	9
4	180712_K00203_0208_AHW5VMBBXX	PMS2	MSI_PMS2_16	tumor 	56234768	54985352	98	43829929	78	46772391	83	30707	18499	10
2	180116_K00203_0173_BHNKCVBBXX	PMS2	MSI_PMS2_2	tumor 	28946513	27494295	95	17487036	60	22742830	79	17630	17753	6
