"","percent.FFPE","signature","sens","spec","acc"
"64","30%","SBS10c",0.903904609304667,0.951639630906836,NA
"65","30%","SBS10d",0.970074197075733,0.98201110905896,NA
"66","30%","SBS11",0.931707247603682,0.409320451902883,NA
"67","30%","SBS12",0.959809929925579,0.94746200476249,NA
"68","30%","SBS13",0.969321712738682,0.952804811879814,NA
"69","30%","SBS14",0.898126403848684,0.948158125001254,NA
"70","30%","SBS15",0.934508404512913,0.671500556059678,NA
"71","30%","SBS16",0.914477399315187,0.929671576502249,NA
"72","30%","SBS17a",0.990845864476748,0.988817515995646,NA
"73","30%","SBS17b",0.995544737787289,0.992696907658169,NA
"74","30%","SBS18",0.89993394362833,0.893795311556536,NA
"75","30%","SBS19",0.903322906678723,0.358820993010819,NA
"76","30%","SBS2",0.989628845647006,0.696571671014822,NA
"77","30%","SBS20",0.918083249929342,0.670843927539644,NA
"78","30%","SBS21",0.952905847420053,0.940052761173057,NA
"79","30%","SBS22",0.983207375673726,0.987177059215005,NA
"80","30%","SBS23",0.92614324755921,0.305648205947422,NA
"81","30%","SBS24",0.917842431460651,0.839971775282583,NA
"82","30%","SBS25",0.847358651335897,0.931319950833179,NA
"83","30%","SBS26",0.957657403411035,0.98150294304526,NA
"84","30%","SBS28",0.96913526363835,0.984237999257693,NA
"85","30%","SBS29",0.940416126528995,0.906919503748393,NA
"86","30%","SBS3",0.852357440171394,0.953580901266209,NA
"87","30%","SBS30",0.910291421960886,0.210347292273331,NA
"88","30%","SBS31",0.861643172203446,0.77561880981586,NA
"89","30%","SBS32",0.886957658711098,0.348960031534939,NA
"90","30%","SBS33",0.930251881953348,0.983754595431118,NA
"91","30%","SBS34",0.975238004225449,0.954183198859281,NA
"92","30%","SBS35",0.928186937342763,0.846045252246431,NA
"93","30%","SBS36",0.917110488127739,0.98674219436861,NA
"94","30%","SBS37",0.940197595911358,0.984573028939758,NA
"95","30%","SBS38",0.932426378089362,0.992178431059304,NA
"96","30%","SBS39",0.902080187135465,0.986786571581126,NA
"97","30%","SBS4",0.925945909893099,0.96193576536013,NA
"98","30%","SBS40",0.799355823009857,0.950551739327428,NA
"99","30%","SBS41",0.914371498772331,0.957407187199664,NA
"100","30%","SBS42",0.902088387141437,0.502508470697717,NA
"101","30%","SBS44",0.952229930921028,0.602261731701668,NA
"102","30%","SBS5",0.756507676537333,0.878308254695233,NA
"103","30%","SBS6",0.908646385386288,0.603786739418364,NA
"104","30%","SBS7a",0.926042688994196,0.517418163933029,NA
"105","30%","SBS7b",0.964802067901802,0.451567385346934,NA
"106","30%","SBS7c",0.915117816754188,0.973349582859653,NA
"107","30%","SBS7d",0.941284709845834,0.787558362298438,NA
"108","30%","SBS8",0.946868308571565,0.945673928111988,NA
"109","30%","SBS84",0.922702592060079,0.492089236578407,NA
"110","30%","SBS85",0.970300506723023,0.91543884345032,NA
"111","30%","SBS86",0.911439587469879,0.938263870836061,NA
"112","30%","SBS87",0.933837041599862,0.885242849688975,NA
"113","30%","SBS88",0.970172440044418,0.96424367242155,NA
"114","30%","SBS89",0.869402848540106,0.865188496594301,NA
"115","30%","SBS9",0.892375029695697,0.980186837500558,NA
"116","30%","SBS90",0.988825617266154,0.942704255940116,NA
"117","30%","SBS91",0.917147440888791,0.913071858308592,NA
"118","30%","SBS92",0.783905952895856,0.833526720842964,NA
"119","30%","SBS93",0.912218626672508,0.934713772512068,NA
"120","30%","SBS94",0.818796049583016,0.896330594579918,NA
"121","50%","SBS1",0.960451700000307,0.86315980664842,NA
"122","50%","SBS10a",0.930063213988759,0.982229280754442,NA
"123","50%","SBS10b",0.886057925535219,0.846662089352981,NA
"124","50%","SBS10c",0.892865272717512,0.986851700923144,NA
"125","50%","SBS10d",0.954751848828557,0.991657747725118,NA
"126","50%","SBS11",0.92736019901711,0.468803297223249,NA
"127","50%","SBS12",0.957213245961088,0.951450399733675,NA
"128","50%","SBS13",0.971968265200933,0.959293572610329,NA
"129","50%","SBS14",0.899793458398774,0.97190948815138,NA
"130","50%","SBS15",0.904532507627836,0.765996285135761,NA
"131","50%","SBS16",0.905397504388612,0.951547091515697,NA
"132","50%","SBS17a",0.987384697862551,0.989594888628454,NA
"133","50%","SBS17b",0.995680768114767,0.987160121245269,NA
"134","50%","SBS18",0.865694165405852,0.983203454931266,NA
